date,cases,tests
2021-06-06,5,17.5
2021-06-07,5,13.8
2021-06-08,3,11.2
2021-06-09,4,22.5
2021-06-10,3,19.8
2021-06-11,1,18.5
2021-06-12,1,19.3
2021-06-13,1,17.2
2021-06-14,6,9.5
2021-06-15,4,8.3
2021-06-16,3,10.5
2021-06-17,3,23.1
2021-06-18,2,21.7
2021-06-19,6,26.6
2021-06-20,5,24.5
2021-06-21,8,25.3
2021-06-22,5,28.6
2021-06-23,10,44.6
2021-06-24,19,48.4
2021-06-25,12,47.6
2021-06-26,28,55.2
2021-06-27,32,52
2021-06-28,22,58.9
2021-06-29,20,67
2021-06-30,28,68.2
2021-07-01,28,59.9
2021-07-02,32,73.6
2021-07-03,40,56.3
2021-07-04,16,45.3
2021-07-05,37,58.4
2021-07-06,18,32.3
2021-07-07,28,45
2021-07-08,39,39.7
2021-07-09,45,42.2
2021-07-10,52,42
2021-07-11,82,48.8
2021-07-12,116,46.5
2021-07-13,93,49.1
2021-07-14,99,65.3
2021-07-15,67,58.3
2021-07-16,98,77.6
2021-07-17,117,82
2021-07-18,109,66.7
2021-07-19,100,75.8
2021-07-20,79,62.9
2021-07-21,112,83.5
2021-07-22,124,85.2
2021-07-23,135,86.6
2021-07-24,159,93.9
2021-07-25,141,102.2
2021-07-26,150,98.2
2021-07-27,175,84.5
2021-07-28,176,94.5
2021-07-29,238,111
2021-07-30,172,95.4
2021-07-31,211,106
2021-08-01,239,87.7
2021-08-02,207,117
2021-08-03,201,104.5
2021-08-04,232,107.6
2021-08-05,262,107
2021-08-06,286,109.5
2021-08-07,315,108.4
2021-08-08,261,95.5
2021-08-09,284,133.8
2021-08-10,356,95
2021-08-11,345,119.3
2021-08-12,343,151.8
2021-08-13,384,128
2021-08-14,463,129.3
2021-08-15,411,126.8
2021-08-16,475,156.5
2021-08-17,438,151.8
2021-08-18,627,102.7
2021-08-19,674,119.3
2021-08-20,636,127.6
2021-08-21,820,124.6
2021-08-22,824,206.2
2021-08-23,803,311.1
2021-08-24,745,138.5
2021-08-25,910,129
2021-08-26,1016,171.5
2021-08-27,875,118.1
2021-08-28,1026,129.2
2021-08-29,1213,106
2021-08-30,1273,157.2
2021-08-31,1151,130
2021-09-01,1102,173.9
2021-09-02,1280,127.4
2021-09-03,1416,154.7
2021-09-04,1516,131.2
2021-09-05,1459,115.5
2021-09-06,1280,136.5
2021-09-07,1205,100.7
2021-09-08,1457,130.3
2021-09-09,1384,156.5
2021-09-10,1508,133.2
2021-09-11,1573,148
2021-09-12,1247,105.5
